,City,Country,Date,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Amahai,ID,1573079579,30,79,-3.31,129.0,78.42,4.81
1,North Branch,US,1573079579,1,45,45.51,-92.98,28.4,6.93
2,Paulo Afonso,BR,1573079579,2,72,-9.4,-38.23,75.16,11.36
3,Kapaa,US,1573079548,1,66,22.08,-159.32,84.2,17.22
4,Hermanus,ZA,1573079579,58,67,-34.42,19.24,59.0,8.01
5,Lasa,CY,1573079579,0,68,34.92,32.53,64.4,10.29
6,Victoria,BN,1573079500,75,88,5.28,115.24,78.8,2.24
7,Cockburn Town,TC,1573079579,99,80,21.46,-71.14,81.95,17.98
8,Castro,CL,1573079544,100,97,-42.48,-73.76,40.17,3.15
9,Khudumelapye,BW,1573079579,0,23,-23.91,24.95,73.33,8.66
10,Cabo San Lucas,MX,1573079442,75,69,22.89,-109.91,87.01,4.7
11,Hobart,AU,1573079580,75,50,-42.88,147.33,51.8,25.28
12,Butaritari,KI,1573079580,44,73,3.07,172.79,84.22,10.29
13,Cap Malheureux,MU,1573079580,75,88,-19.98,57.61,73.99,5.82
14,Lokoja,NG,1573079580,38,68,7.8,6.74,77.61,3.53
15,Pedini,GR,1573079580,60,82,39.6,20.84,60.8,1.12
16,Rikitea,PF,1573079554,12,76,-23.12,-134.97,76.91,0.92
17,Atuona,PF,1573079580,7,76,-9.8,-139.03,80.22,14.88
18,Muros,ES,1573079580,75,93,42.77,-9.06,60.01,8.05
19,Yellowknife,CA,1573079580,20,85,62.45,-114.38,16.0,2.24
20,Sitka,US,1573079580,78,52,37.17,-99.65,63.0,4.0
21,Port Lincoln,AU,1573079580,53,68,-34.72,135.86,59.02,19.48
22,Pinsk,BY,1573079581,26,92,52.11,26.1,42.85,7.76
23,Saskylakh,RU,1573079581,0,97,71.97,114.09,-20.75,6.13
24,Monrovia,LR,1573079581,20,94,6.33,-10.8,78.8,7.07
25,Narsaq,GL,1573079576,18,58,60.91,-46.05,26.6,3.36
26,Soyo,AO,1573079581,26,83,-6.13,12.37,78.35,5.23
27,Jamestown,AU,1573079581,87,57,-33.21,138.6,57.9,14.54
